sickle_address,user_wallet
0xf471bb64e6fbe2083f7f3a16e77f6a957a3b67d7,0xf471bb64e6fbe2083f7f3a16e77f6a957a3b67d7
0x08a1d63589a52455e90ca1ec01c8d48c54a84ed0,0x08a1d63589a52455e90ca1ec01c8d48c54a84ed0
0xf1181727cab6b9754321b8fc3f40e99c3dad7925,0xf1181727cab6b9754321b8fc3f40e99c3dad7925
0xb5c8ebf701676594abd93da9a16bd5f4759c9982,0xb5c8ebf701676594abd93da9a16bd5f4759c9982
0x7329e11109f699d347c96aa06bb57e73946e14f4,0x7329e11109f699d347c96aa06bb57e73946e14f4
0xb72519e977250ca86ad87681c0fb91bdbe28dd13,0xb72519e977250ca86ad87681c0fb91bdbe28dd13
0x2a4a047bd90ea9ee573b63c3d4201cfa16e7d11d,0x2a4a047bd90ea9ee573b63c3d4201cfa16e7d11d
0x842a4d2434147059033fced3cf635275af1adc00,0x842a4d2434147059033fced3cf635275af1adc00
0xc0d3a8d939d8653f0fd8fe7a0646dd3884293466,0xc0d3a8d939d8653f0fd8fe7a0646dd3884293466
0xd9a4afcf127b5456b716b94c59f3d5445cc014ad,0xd9a4afcf127b5456b716b94c59f3d5445cc014ad
0x7c3d3c9ea0f11b162a4261a849033030b4cd3064,0x7c3d3c9ea0f11b162a4261a849033030b4cd3064
0x28f0003cfd4ffed92ad0aa9de05e7736727c8320,0x28f0003cfd4ffed92ad0aa9de05e7736727c8320
0xc5a9fc4a46bccb6984ebb7504b6db154982dfca3,0xc5a9fc4a46bccb6984ebb7504b6db154982dfca3
0xec4434b98d3f95a2ac64f0cdbd876855b8ccffbb,0xec4434b98d3f95a2ac64f0cdbd876855b8ccffbb
0xbb366dba6a9f2adee1e7356a9613120e70042bc3,0xbb366dba6a9f2adee1e7356a9613120e70042bc3
0xab3e46ccf699094b13be4fafc3288442f3ee79c0,0xab3e46ccf699094b13be4fafc3288442f3ee79c0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13,0xb0bada5d45d939a03c6d211d24a61a4418d7cd13
0x4539bfb73873f2367dfe87fa6e80b9b98b34ae2a,0x4539bfb73873f2367dfe87fa6e80b9b98b34ae2a
0x6e0f74ce1630529e766f6ce0d6b5d8d655a897bf,0x6e0f74ce1630529e766f6ce0d6b5d8d655a897bf
0xa4a8bbab78caeb55d8b76e381184009d14bad8c7,0xa4a8bbab78caeb55d8b76e381184009d14bad8c7
0xdcf3f7b46e303d64b214aff39799d719c392ac18,0xdcf3f7b46e303d64b214aff39799d719c392ac18
0xab12de9c36dad3d05f2d5f791b31669338c1f055,0xab12de9c36dad3d05f2d5f791b31669338c1f055
0x5e8e79f1d05dff8bfb9ab83fb9ea0c66150e75f5,0x5e8e79f1d05dff8bfb9ab83fb9ea0c66150e75f5
0x5d84cbdccb45889a6bbc9bf61d434ffbae58bc00,0x5d84cbdccb45889a6bbc9bf61d434ffbae58bc00
0x786491094d6d220532c74d9d9eab1547ff4ff14f,0x786491094d6d220532c74d9d9eab1547ff4ff14f
0x9d5e831f7380b28acdfd86d82ec42d605edb7365,0x9d5e831f7380b28acdfd86d82ec42d605edb7365
0xccd95d6e55e89c900c1a98e3ad002194761d6806,0xccd95d6e55e89c900c1a98e3ad002194761d6806
0xe01631933440de108efb20e61de6d659c2d6b45d,0xe01631933440de108efb20e61de6d659c2d6b45d
0x8bbc36cab44ab21a85237f334305fda8cf19645b,0x8bbc36cab44ab21a85237f334305fda8cf19645b
0xae5a3f1544c592f383c773985b4f019a1767a43c,0xae5a3f1544c592f383c773985b4f019a1767a43c
0x30644863b6c7f25c4f74d571ee09293b833b8091,0x30644863b6c7f25c4f74d571ee09293b833b8091
0x6afacb6379fedd64671657be5b5316c1368f88eb,0x6afacb6379fedd64671657be5b5316c1368f88eb
0xd31565daae92c3345f7dd4d550952cc93db30ec2,0xd31565daae92c3345f7dd4d550952cc93db30ec2
0x9a6b85151f9707cfb7de7ff5adc6525e7f8fa379,0x9a6b85151f9707cfb7de7ff5adc6525e7f8fa379
0xe36ca3dc49f0404c3a7b51ae1fcfb7b9cad5e33e,0xe36ca3dc49f0404c3a7b51ae1fcfb7b9cad5e33e
0x5c32344dbb1c43b49a2c6fa62cdc671dea88e4dd,0x5c32344dbb1c43b49a2c6fa62cdc671dea88e4dd
0x652013ec377499f64eae5322f1d925f95f76b82f,0x652013ec377499f64eae5322f1d925f95f76b82f
0x024328d1df0d0efe2744dcf3993134be916780b6,0x024328d1df0d0efe2744dcf3993134be916780b6
0x3db58c10b27baf4ec0118345cc4a2c691bdc62fa,0x3db58c10b27baf4ec0118345cc4a2c691bdc62fa
0x598e362f13539e564d51bbd4f331340412ea5fe4,0x598e362f13539e564d51bbd4f331340412ea5fe4
0xb872b50b1d0d10b1f86b32b16e7b0e5f93548027,0xb872b50b1d0d10b1f86b32b16e7b0e5f93548027
0x951e1195f5b49c09779297012f96b9a759db75e4,0x951e1195f5b49c09779297012f96b9a759db75e4
0xcb84355f39c662ab6fb1482a82cd308dd520d223,0xcb84355f39c662ab6fb1482a82cd308dd520d223
0xbb730c09165b1ac031720e2ef6d6edaa26a1be9d,0xbb730c09165b1ac031720e2ef6d6edaa26a1be9d
0x55ffea4ae75604f9bc635467dc92e964a14da7a4,0x55ffea4ae75604f9bc635467dc92e964a14da7a4
0xe64f43052f17f7e791a38ef070a73312efb625e6,0xe64f43052f17f7e791a38ef070a73312efb625e6
0xbb8fb8fe5198f25d117c0e7b1b9c8260cb19c3c0,0xbb8fb8fe5198f25d117c0e7b1b9c8260cb19c3c0
0x26a92d07ac9215f50171c84e48383350595090a5,0x26a92d07ac9215f50171c84e48383350595090a5
0xa2bed7c921ba3b2d8edf6a8478c876c5de23c1e5,0xa2bed7c921ba3b2d8edf6a8478c876c5de23c1e5
0xf06ad68aec551ca9f2803f534b1e67bc78e3f4e8,0xf06ad68aec551ca9f2803f534b1e67bc78e3f4e8
0xf9f1402783e257b34caf2c977c319c1e6bf9cf14,0xf9f1402783e257b34caf2c977c319c1e6bf9cf14
0xb3d825e35ac94c600105d2b8fc296bdb57b41671,0xb3d825e35ac94c600105d2b8fc296bdb57b41671
0x726ed7ae8e615d00415b51bba80a940c7d61f2a8,0x726ed7ae8e615d00415b51bba80a940c7d61f2a8
0x22295f4989e1cdf51a17438b5225dda27564e1c9,0x22295f4989e1cdf51a17438b5225dda27564e1c9
0xc8ef2e76deae8394a632cd8403ce4b0993fd615a,0xc8ef2e76deae8394a632cd8403ce4b0993fd615a
0x1e80864a2fa72be87d1e36f0e39c6d22aabc4bd2,0x1e80864a2fa72be87d1e36f0e39c6d22aabc4bd2
0x8fc03f2f30b929f15e4d3a770a26b09406d09c56,0x8fc03f2f30b929f15e4d3a770a26b09406d09c56
